Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2026-01-03,8:33 AM,"Breakfast","Brazil Nuts, Unsalted","2.00 each",62.28,0.00,0.00,0.32,0.06,0.00,0.03,0.02,0.01,0.00,2.08,0.00,0.07,0.00,0.53,0.00,15.12,0.16,0.23,35.53,0.12,68.51,62.28,181.16,0.28,0.38,1.11,0.71,0.02,0.22,0.00,0.40,6.34,0.00,2.26,2.31,1.52,0.00,0.00,2.26,0.03,0.04,0.05,0.11,0.05,0.11,0.06,1.35,0.03,0.01,0.04,0.07,"Nut and Seed Products"
2026-01-03,8:34 AM,"Breakfast","Sunflower Seeds, Oil Roasted, Salted","0.75 tbsp, whole pieces",37.46,0.00,0.00,0.10,0.02,0.02,0.26,0.44,0.05,0.00,14.81,0.03,0.07,0.00,2.30,0.20,5.51,0.11,0.27,8.04,0.13,72.08,30.57,4.95,19.17,0.33,1.45,0.67,0.58,0.20,0.00,0.78,3.25,0.00,0.51,2.17,0.45,0.01,0.00,2.16,0.03,0.04,0.06,0.09,0.05,0.03,0.07,1.27,0.05,0.02,0.04,0.07,"Nut and Seed Products"
2026-01-03,8:37 AM,"Breakfast","Walnuts","2.00 tbsp, chopped",99.31,0.00,0.00,0.46,0.03,0.02,0.18,0.08,0.10,0.00,14.33,0.15,0.19,0.00,0.10,0.25,12.87,0.18,0.33,20.77,0.44,53.38,62.01,0.72,0.00,0.40,1.60,0.76,0.01,0.38,0.00,0.80,10.20,0.00,1.41,7.21,0.89,0.00,1.39,5.83,0.03,0.05,0.08,0.15,0.06,0.03,0.09,2.13,0.06,0.02,0.06,0.09,"Nut and Seed Products"
2026-01-03,8:40 AM,"Breakfast","Sports Research, D3 + K2 Softgels","1.00 Liquid Veggie Softgel",,,,,,,,,,,,,,5000.00,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2026-01-03,8:40 AM,"Breakfast","Naturelo, Vegan DHA Softgels","1.00 x 2.0 softgels",9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,0.80,,,,,,,,,,,,,,"Supplements"
2026-01-03,8:40 AM,"Breakfast","Double Wood, Magtein Capsules, Magnesium L-Threonate","1.00 x 4.0 capsules",,,,,,,,,,,,,,,,,,,,144.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2026-01-03,8:42 AM,"Breakfast","Simple Truth, Sausage, Meatless Chorizo","1.00 sausage",230.00,,,,,,,,,,,,,0.00,,,40.00,,1.40,,,,170.00,,510.00,,7.00,0.00,,1.00,0.50,7.00,10.00,0.00,,,1.50,0.00,,,,,,,,,,27.00,,,,,"Meals, Entrees, and Sidedishes"
2026-01-03,9:20 AM,"Breakfast","Coffee","1.00 medium or grande - each 16 fl oz",4.74,0.00,189.44,470.71,0.07,0.36,0.90,1.20,0.00,0.00,9.47,0.00,0.00,0.00,0.05,0.47,9.47,0.01,0.05,14.21,0.11,14.21,232.06,0.00,9.47,0.09,2.23,2.23,0.00,0.00,0.00,0.00,0.09,0.00,0.07,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.57,0.00,0.00,0.01,0.01,"Beverages"
2026-01-03,9:20 AM,"Breakfast","Kirkland, Almond Milk, Original Unsweetened","0.25 cup (240ml)",7.50,,,57.83,,0.10,,,,0.30,,33.72,,50.00,2.00,,150.00,,0.05,,,,8.75,,27.50,0.50,0.25,0.25,,0.00,0.00,0.00,0.63,0.00,0.38,0.13,0.00,0.00,,,,,,,,,,0.25,,,,,"Beverages"
2026-01-03,12:11 PM,"Lunch","Weis, Pumpkin Seeds, Roasted & Salted","0.33 x 3.0 tbsp",53.28,,,0.19,0.01,0.01,0.41,0.05,0.01,,5.31,0.22,0.17,0.00,0.05,0.42,3.33,0.12,0.77,51.28,0.42,109.46,73.26,0.88,23.31,0.71,1.33,0.67,0.07,0.12,0.00,0.67,4.66,0.00,,,0.83,0.00,,,0.03,0.07,0.12,0.22,0.11,0.06,0.16,2.66,0.09,0.05,0.10,0.15,"Nut and Seed Products"
